"Id","MSZoning","LotArea","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","MasVnrType","MasVnrArea","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","TotalBsmtSF","HeatingQC","Electrical","2ndFlrSF","GrLivArea","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","PoolQC","SaleCondition","SalePrice","stFlrSF","Baths"
1,"RL",8450,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","7","5",2003,2003,"Gable","CompShg","BrkFace",196,"Gd","TA","No","GLQ",706,"Unf",856,"Ex","SBrkr",854,1710,"Gd",8,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",208500,856,3.5
2,"RL",9600,"FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story","6","8",1976,1976,"Gable","CompShg","None",0,"Gd","TA","Gd","ALQ",978,"Unf",1262,"Ex","SBrkr",0,1262,"TA",6,"Typ",1,"TA","Attchd","RFn",2,"TA","TA","Y","None","Normal",181500,1262,2.5
3,"RL",11250,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","7","5",2001,2002,"Gable","CompShg","BrkFace",162,"Gd","TA","Mn","GLQ",486,"Unf",920,"Ex","SBrkr",866,1786,"Gd",6,"Typ",1,"TA","Attchd","RFn",2,"TA","TA","Y","None","Normal",223500,920,3.5
4,"RL",9550,"Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story","7","5",1915,1970,"Gable","CompShg","None",0,"TA","Gd","No","ALQ",216,"Unf",756,"Gd","SBrkr",756,1717,"Gd",7,"Typ",1,"Gd","Detchd","Unf",3,"TA","TA","Y","None","Abnorml",140000,961,2
5,"RL",14260,"FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story","8","5",2000,2000,"Gable","CompShg","BrkFace",350,"Gd","TA","Av","GLQ",655,"Unf",1145,"Ex","SBrkr",1053,2198,"Gd",9,"Typ",1,"TA","Attchd","RFn",3,"TA","TA","Y","None","Normal",250000,1145,3.5
6,"RL",14115,"Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin","5","5",1993,1995,"Gable","CompShg","None",0,"Gd","TA","No","GLQ",732,"Unf",796,"Ex","SBrkr",566,1362,"TA",5,"Typ",0,"None","Attchd","Unf",2,"TA","TA","Y","None","Normal",143000,796,2.5
7,"RL",10084,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5",2004,2005,"Gable","CompShg","Stone",186,"Ex","TA","Av","GLQ",1369,"Unf",1686,"Ex","SBrkr",0,1694,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA","Y","None","Normal",307000,1694,3
8,"RL",10382,"Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story","7","6",1973,1973,"Gable","CompShg","Stone",240,"Gd","TA","Mn","ALQ",859,"BLQ",1107,"Ex","SBrkr",983,2090,"TA",7,"Typ",2,"TA","Attchd","RFn",2,"TA","TA","Y","None","Normal",2e+05,1107,3.5
9,"RM",6120,"Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin","7","5",1931,1950,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",952,"Gd","FuseF",752,1774,"TA",8,"Min1",2,"TA","Detchd","Unf",2,"Fa","TA","Y","None","Abnorml",129900,1022,2
10,"RL",7420,"Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf","5","6",1939,1950,"Gable","CompShg","None",0,"TA","TA","No","GLQ",851,"Unf",991,"Ex","SBrkr",0,1077,"TA",5,"Typ",2,"TA","Attchd","RFn",1,"Gd","TA","Y","None","Normal",118000,1077,2
